review_id,feedback
1,Excellent service and fast delivery
2,Excellent service and fast delivery
3,Not as described poor quality
4,Product broke after one week of use
5,Not as described poor quality
6,Terrible quality not worth the money
7,Good value for the price highly recommend
8,Product broke after one week of use
9,Disappointed with the overall quality
10,Good value for the price highly recommend
11,Product broke after one week of use
12,Product broke after one week of use
13,Terrible quality not worth the money
14,Love the design and functionality
15,Terrible quality not worth the money
16,Product broke after one week of use
17,The product is amazing and works great
18,Good value for the price highly recommend
19,Terrible quality not worth the money
20,Love the design and functionality
21,Average product nothing special about it
22,Not as described poor quality
23,Product broke after one week of use
24,Disappointed with the overall quality
25,Average product nothing special about it
26,Excellent service and fast delivery
27,Great product best purchase ever made
28,Love the design and functionality
29,Disappointed with the overall quality
30,Great product best purchase ever made
31,Love the design and functionality
32,The product is amazing and works great
33,Not as described poor quality
34,Average product nothing special about it
35,Good value for the price highly recommend
36,Love the design and functionality
37,Good value for the price highly recommend
38,Not as described poor quality
39,Product broke after one week of use
40,Excellent service and fast delivery
41,Average product nothing special about it
42,Not as described poor quality
43,Not as described poor quality
44,The product is amazing and works great
45,Great product best purchase ever made
46,Excellent service and fast delivery
47,Average product nothing special about it
48,Product broke after one week of use
49,Product broke after one week of use
50,Terrible quality not worth the money
51,Not as described poor quality
52,Love the design and functionality
53,The product is amazing and works great
54,Excellent service and fast delivery
55,Product broke after one week of use
56,Average product nothing special about it
57,Terrible quality not worth the money
58,Average product nothing special about it
59,The product is amazing and works great
60,Love the design and functionality
61,Terrible quality not worth the money
62,Terrible quality not worth the money
63,Great product best purchase ever made
64,Excellent service and fast delivery
65,Terrible quality not worth the money
66,Great product best purchase ever made
67,Great product best purchase ever made
68,The product is amazing and works great
69,Good value for the price highly recommend
70,Average product nothing special about it
71,Love the design and functionality
72,Disappointed with the overall quality
73,Average product nothing special about it
74,Terrible quality not worth the money
75,Love the design and functionality
76,Product broke after one week of use
77,Good value for the price highly recommend
78,Product broke after one week of use
79,Product broke after one week of use
80,Excellent service and fast delivery
81,Average product nothing special about it
82,Disappointed with the overall quality
83,The product is amazing and works great
84,Disappointed with the overall quality
85,Product broke after one week of use
86,Terrible quality not worth the money
87,Good value for the price highly recommend
88,Not as described poor quality
89,Disappointed with the overall quality
90,Product broke after one week of use
91,Good value for the price highly recommend
92,Love the design and functionality
93,Average product nothing special about it
94,Great product best purchase ever made
95,Excellent service and fast delivery
96,Good value for the price highly recommend
97,Terrible quality not worth the money
98,Terrible quality not worth the money
99,Good value for the price highly recommend
100,Terrible quality not worth the money
